Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
2304,Chevrolet,24059,Gasoline,Automatic,Grey,Black,None reported,Yes,87150,6,650.0,6.2,8.0
3731,Mazda,21444,Gasoline,Automatic,Grey,Red,None reported,Yes,29995,3,,2.5,
585,BMW,48291,Gasoline,Unknown,Grey,Brown,None reported,Yes,67250,6,567.0,4.4,8.0
1349,Jeep,44000,Gasoline,Manual,Green,Green,Accident reported,Yes,24999,20,190.0,4.0,6.0
1007,Tesla,30554,,Automatic,Blue,Black,None reported,,41999,4,,,
674,Lexus,39700,Gasoline,Automatic,White,Other,None reported,Yes,25500,8,268.0,3.5,6.0
447,Land,5433,Hybrid,Automatic,Black,Black,None reported,,95998,1,,,
2285,Land,95212,Gasoline,Automatic,Brown,Other,None reported,Yes,31599,7,340.0,3.0,6.0
3688,Jeep,4000,Gasoline,Automatic,Silver,Black,None reported,Yes,50000,4,285.0,3.6,6.0
2064,Dodge,54000,Gasoline,Automatic,Grey,Black,None reported,Yes,34000,4,372.0,5.7,8.0
3169,Tesla,11860,,Automatic,White,White,None reported,Yes,92500,2,670.0,,
2507,Audi,137000,Gasoline,Automatic,White,Grey,None reported,Yes,10995,7,186.0,2.0,4.0
1690,Nissan,165000,Gasoline,Automatic,Black,Other,None reported,Yes,4000,13,122.0,1.8,4.0
3306,Chevrolet,54000,Gasoline,Automatic,Grey,Grey,Accident reported,Yes,16000,7,160.0,1.5,4.0
1247,Tesla,12055,,Automatic,Blue,Black,None reported,Yes,44400,2,425.0,,
1985,Mercedes-Benz,84450,Gasoline,Automatic,Grey,Other,None reported,Yes,19000,10,302.0,3.5,6.0
294,Toyota,67039,Gasoline,Automatic,Blue,Black,None reported,,34645,3,,3.5,
1547,Mercedes-Benz,23151,Gasoline,Automatic,Grey,Black,None reported,Yes,84500,7,416.0,4.0,8.0
2012,Hyundai,83000,Gasoline,Manual,Blue,Grey,None reported,Yes,2900,21,104.0,1.6,4.0
588,Lincoln,125000,Gasoline,Unknown,Grey,Other,None reported,Yes,26500,8,380.0,3.5,6.0
2129,Porsche,124000,Gasoline,Automatic,White,Other,None reported,Yes,25000,9,420.0,3.6,6.0
3070,Jeep,109646,Gasoline,Automatic,Other,Black,None reported,,16998,13,,3.8,
